"","date","time_rel_sunrise","ID","UST","does_it_match","Lat","Lon"
"75","20220513",-1380.182321973,"DgTbO","33",0,17.980471,-67.164934
"76","20220513",-1374.6843138,"DgTbO","153",0,17.980471,-67.164934
"77","20220513",-1368.062304381,"DgTbO","1",0,17.980471,-67.164934
"78","20220513",-1360.952357426,"DgTbO","20",0,17.980471,-67.164934
"79","20220513",-1356.743896177,"DgTbO","15",0,17.980471,-67.164934
"80","20220513",-1349.52939179,"DgTbO","10",0,17.980471,-67.164934
"81","20220513",-1342.26260777,"DgTbO","7",0,17.980471,-67.164934
"82","20220513",-1336.450923188,"DgTbO","153",0,17.980471,-67.164934
"83","20220513",-1328.985023072,"DgTbO","1",0,17.980471,-67.164934
"84","20220513",-1324.391896121,"DgTbO","20",0,17.980471,-67.164934
"85","20220513",-1318.405948133,"DgTbO","33",0,17.980471,-67.164934
"86","20220513",-1313.395875217,"DgTbO","7",0,17.980471,-67.164934
"87","20220513",-1305.893836212,"DgTbO","1",0,17.980471,-67.164934
"88","20220513",-1298.29595172,"DgTbO","20",0,17.980471,-67.164934
"89","20220513",-1293.677971467,"DgTbO","7",0,17.980471,-67.164934
"90","20220513",-1288.336798081,"DgTbO","153",0,17.980471,-67.164934
"91","20220513",-1281.610231231,"DgTbO","154",0,17.980471,-67.164934
"92","20220513",-1276.74828221,"DgTbO","10",0,17.980471,-67.164934
"93","20220513",-1269.066724449,"DgTbO","8",0,17.980471,-67.164934
"94","20220513",-1263.289750945,"DgTbO","33",0,17.980471,-67.164934
"95","20220513",-1257.997540362,"DgTbO","32",0,17.980471,-67.164934
"96","20220513",-1251.88960799,"DgTbO","8",0,17.980471,-67.164934
"97","20220513",-1244.32657618,"DgTbO","12",0,17.980471,-67.164934
"98","20220513",-1238.985218921,"DgTbO","33",0,17.980471,-67.164934
"99","20220513",-1233.138066845,"DgTbO","8",0,17.980471,-67.164934
"100","20220513",-1226.333880147,"DgTbO","153",0,17.980471,-67.164934
"101","20220513",-1219.207656229,"DgTbO","33",0,17.980471,-67.164934
"102","20220513",-1212.514792682,"DgTbO","33",0,17.980471,-67.164934
"103","20220513",-1205.997341307,"DgTbO","153",0,17.980471,-67.164934
"104","20220513",-1199.296913355,"DgTbO","7",0,17.980471,-67.164934
"105","20220513",-1194.2432752,"DgTbO","1",0,17.980471,-67.164934
"106","20220513",-1188.710414126,"DgTbO","10",0,17.980471,-67.164934
"107","20220513",-1180.746576482,"DgTbO","10",0,17.980471,-67.164934
"108","20220513",-1172.721747259,"DgTbO","7",0,17.980471,-67.164934
"109","20220513",-1166.300140757,"DgTbO","20",0,17.980471,-67.164934
"110","20220513",-1160.878196899,"DgTbO","153",0,17.980471,-67.164934
"111","20220513",-1154.67159403,"DgTbO","33",0,17.980471,-67.164934
"112","20220513",-1148.542700322,"DgTbO","153",0,17.980471,-67.164934
"113","20220513",-1141.641869453,"DgTbO","33",0,17.980471,-67.164934
"114","20220513",-1136.169998512,"DgTbO","1",0,17.980471,-67.164934
"115","20220513",-1129.302623737,"DgTbO","20",0,17.980471,-67.164934
"116","20220513",-1123.631743257,"DgTbO","7",0,17.980471,-67.164934
"117","20220513",-1118.534538639,"DgTbO","33",0,17.980471,-67.164934
"118","20220513",-1112.025800433,"DgTbO","153",0,17.980471,-67.164934
"119","20220513",-1104.88971458,"DgTbO","1",0,17.980471,-67.164934
"120","20220513",-1096.577350125,"DgTbO","10",0,17.980471,-67.164934
"121","20220513",-1088.378256884,"DgTbO","33",0,17.980471,-67.164934
"122","20220513",-1082.427162189,"DgTbO","10",0,17.980471,-67.164934
"123","20220513",-1076.258237625,"DgTbO","1",0,17.980471,-67.164934
"124","20220513",-1069.557809673,"DgTbO","7",0,17.980471,-67.164934
"125","20220513",-1063.269284499,"DgTbO","153",0,17.980471,-67.164934
"126","20220513",-1055.686439364,"DgTbO","33",0,17.980471,-67.164934
"127","20220513",-1049.029577264,"DgTbO","8",1,17.980471,-67.164934
"128","20220513",-1043.017489765,"DgTbO","10",0,17.980471,-67.164934
"129","20220513",-1036.273496575,"DgTbO","10",1,17.980471,-67.164934
"130","20220513",-1029.764758369,"DgTbO","153",0,17.980471,-67.164934
"131","20220513",-1022.463121668,"DgTbO","1",0,17.980471,-67.164934
"132","20220513",-1014.943656321,"DgTbO","20",0,17.980471,-67.164934
"133","20220513",-1007.868562047,"DgTbO","153",0,17.980471,-67.164934
"134","20220513",-1000.619204368,"DgTbO","33",0,17.980471,-67.164934
"135","20220513",-994.215024817997,"DgTbO","7",0,17.980471,-67.164934
